,a_user_id,b_user_id
2633,1,25
2636,1,25
2637,1,25
2640,1,25
2641,1,25
2644,1,3
2646,1,3
2649,1,20
2653,1,7
2656,1,7
2660,1,20
2664,1,26
2669,1,20
2671,1,20
2674,1,26
2678,1,34
2679,1,34
2682,1,34
2683,1,34
2686,1,29
2688,1,29
2695,1,29
2696,1,29
2699,1,29
2700,1,29
2703,1,30
2706,1,30
2714,1,38
2719,1,14
2721,1,14
2724,1,31
2728,1,14
2730,1,14
2733,1,31
2737,1,14
2739,1,14
2742,1,31
2746,1,32
2747,1,32
2750,1,32
2751,1,32
2754,1,34
2755,1,34
2758,1,34
2759,1,34
2762,1,35
2763,1,35
2766,1,35
2767,1,35
2770,1,30
2773,1,30
2781,1,38
2786,1,39
2788,1,39
2795,1,39
2796,1,39
2799,1,17
2801,1,17
2804,1,41
2808,1,17
2810,1,17
2813,1,41
2817,1,9
2819,1,9
2822,1,42
2826,1,9
2829,1,9
2833,1,42
2837,1,24
2842,1,12
2845,1,12
2849,1,6
2853,1,43
2858,1,12
2861,1,12
2865,1,6
2869,1,43
2874,1,12
2876,1,12
2879,1,48
2883,1,12
2885,1,12
2888,1,48
2892,1,8
2894,1,8
2897,1,12
2901,1,9
2902,1,9
2905,1,3172
2906,1,3172
2909,1,3
2911,1,3
2914,1,20
2918,1,9
2919,1,9
2922,1,9
2923,1,9
2926,1,9
2927,1,9
2930,1,2278
2931,1,2278
2934,1,3172
2935,1,3172
2938,4,23
2940,4,23
2943,23,1228
2947,4,23
2949,4,23
2952,23,1228
2956,4,23
2958,4,23
2961,23,1228
2965,4,23
2967,4,23
2970,23,1228
2974,4,23
2976,4,23
2979,23,1228
2983,20,23
2985,20,23
2988,23,2519
2992,23,2705
2994,23,2705
2997,23,2713
3001,22,23
3002,22,23
3005,22,23
3006,22,23
3009,22,23
3012,22,23
3016,23,2706
3020,23,2718
3025,23,2718
3028,23,2718
3032,23,2710
3036,23,648
3041,22,23
3044,22,23
3048,23,2705
3052,23,2707
3057,22,23
3059,22,23
3062,23,1228
3066,22,23
3068,22,23
3071,23,1228
3075,22,23
3078,22,23
3082,23,2705
3086,23,2706
3091,22,23
3094,22,23
3098,23,2707
3102,23,2729
3107,22,23
3110,22,23
3114,23,2705
3118,23,2707
3123,22,23
3126,22,23
3130,23,2705
3134,23,2707
3139,22,23
3142,22,23
3146,23,2705
3150,23,2707
3155,22,23
3158,22,23
3162,23,2705
3166,23,2707
3171,22,23
3173,22,23
3176,23,2705
3180,22,23
3183,22,23
3187,23,2707
3191,23,2729
3196,22,23
3199,22,23
3203,23,2705
3207,23,2706
3212,22,23
3214,22,23
3217,23,2706
3221,22,23
3223,22,23
3226,23,2705
3230,23,2705
3232,23,2705
3235,23,2707
3239,22,23
3240,22,23
3243,22,23
3246,22,23
3250,23,2705
3254,23,2707
3259,22,23
3261,22,23
3264,23,2705
3268,22,23
3271,22,23
3275,23,2705
3279,23,2706
3284,22,23
3285,22,23
3288,22,23
3290,22,23
3293,23,2710
3297,22,23
3300,22,23
3304,23,2705
3308,23,2706
3313,22,23
3314,22,23
3317,23,2731
3319,23,2731
3322,23,2727
3326,23,2745
3328,23,2745
3331,23,2726
3335,22,23
3336,22,23
3339,23,1045
3341,23,1045
3344,23,2755
3348,23,2705
3350,23,2705
3353,23,2752
3357,20,23
3359,20,23
3362,23,2519
3366,23,2705
3368,23,2705
3371,23,2752
3375,23,2705
3377,23,2705
3380,23,2713
